tamaño,accuracy,precision,recall,f1_score
90,0.6,0.5555555555555556,0.5555555555555556,0.5185185185185185
180,0.6,0.4333333333333333,0.45,0.4066666666666666
270,0.9666666666666667,0.9888888888888889,0.9833333333333334,0.9850267379679145
360,0.8,0.79,0.8233333333333335,0.7784487734487734
450,0.8,0.7723809523809524,0.8099999999999999,0.76508547008547
540,0.75,0.7039682539682539,0.6791666666666667,0.6753045157456923
630,0.8142857142857143,0.8415873015873017,0.8342857142857143,0.8314204062191678
720,0.8625,0.7792424242424243,0.8016666666666665,0.7817185181282544
810,0.8222222222222222,0.8115043290043291,0.8286363636363635,0.8104711830285654
900,0.88,0.8729912734324499,0.8784033613445377,0.8674186937385215
990,0.8454545454545455,0.8403646353646353,0.8590282266752854,0.8404963010845364
1080,0.8916666666666667,0.8974664224664226,0.8951282051282051,0.8924237125701657
1170,0.8769230769230769,0.8849815462315462,0.8753521624574256,0.8726131849663259
1260,0.9,0.8973706994759626,0.8979104229104229,0.8943557424342838
1350,0.9133333333333333,0.9020663650075417,0.8947453526865292,0.8952683435089754
1440,0.91875,0.9207385879252887,0.906686507936508,0.9087648398809535
1530,0.9176470588235294,0.9231751336898396,0.9210836957160486,0.9179598979052195
1620,0.8944444444444445,0.9006349206349207,0.8924011007911936,0.8936839377660878
1710,0.8947368421052632,0.898322530126878,0.8923786739576214,0.8922801112602757
1800,0.925,0.920741664033273,0.9134285714285714,0.9150976785939842
1890,0.9380952380952381,0.9391695916044231,0.9308889648363332,0.9328267860861412
1980,0.9318181818181818,0.9358963952713953,0.9264685463726385,0.9286925293562855
2070,0.908695652173913,0.913037629037629,0.9079256766625188,0.9082036405729065
2160,0.9166666666666666,0.9140846240159742,0.9156418630102839,0.9121565754628577
2250,0.936,0.9357194792755138,0.9313231339916122,0.9325384792778204
2340,0.9307692307692308,0.9304652438362115,0.9271259130191277,0.9280868925803418
2430,0.9407407407407408,0.9419575423018621,0.9375345305829177,0.9386409156519466
2520,0.9428571428571428,0.9424024251610458,0.9390912790009296,0.9387490705791197
2610,0.9379310344827586,0.9405961373173802,0.9376356693448148,0.9368247425471369
2700,0.9033333333333333,0.9066081195492959,0.904570355983736,0.9029037000735114
2790,0.9064516129032258,0.9054701766325793,0.9123235909170573,0.9068901371680603
2880,0.90625,0.9028910816818863,0.9090287875050185,0.9042724509784804
2970,0.9151515151515152,0.9132010618127546,0.917703234802693,0.9145371663986769
3060,0.9117647058823529,0.9086879867885228,0.9084857156621864,0.9074511682903627
3150,0.9228571428571428,0.9237711875824525,0.9205960996888416,0.9207736532134858
