tamaño,accuracy,precision,recall,f1_score
90,0.6,0.47916666666666663,0.5625,0.47916666666666663
2700,0.9266666666666666,0.9258760208398694,0.9262145399731214,0.9238882128364724
5400,0.9483333333333334,0.9497299711057752,0.9499816448295035,0.9492208806680449
8100,0.9533333333333334,0.9536960844307307,0.9522711903394345,0.9526189385490218
10800,0.9541666666666667,0.9529521148244868,0.9524000592127411,0.9523595876342844
13500,0.9626666666666667,0.9623613444747992,0.9627393822705242,0.9624382118501122
16200,0.9644444444444444,0.964056232688393,0.9648493725173968,0.9643782515306736
18900,0.9652380952380952,0.9647552288110411,0.9649314222415416,0.9647851946295329
21600,0.9575,0.9567750227213809,0.957936695201645,0.9572000809838
24300,0.9548148148148148,0.9550477120509768,0.9543720718571839,0.9545829570904004
27000,0.9636666666666667,0.963818816118515,0.9629520874581748,0.9632978901998841
29700,0.9715151515151516,0.9718558467313768,0.9714238228283616,0.9715782298309898
32400,0.97,0.9698216588614997,0.9694905764771166,0.9695679773131195
35100,0.971025641025641,0.9711060992533002,0.9706477444225013,0.9707520236907372
37800,0.9697619047619047,0.969376581526525,0.9693672407496058,0.9693218754586935
