tamaño,accuracy,precision,recall,f1_score
90,0.6,0.47916666666666663,0.5625,0.47916666666666663
180,0.6,0.5583333333333333,0.53,0.498888888888889
270,0.9333333333333333,0.9722222222222221,0.9333333333333333,0.9441176470588235
360,0.75,0.7949999999999999,0.7866666666666667,0.7582828282828282
450,0.82,0.7873809523809524,0.8266666666666665,0.7617521367521368
540,0.8333333333333334,0.8097222222222223,0.8380555555555557,0.7962532891944657
630,0.8428571428571429,0.8553571428571427,0.8553968253968254,0.8548454469507101
720,0.9375,0.9535464535464536,0.8916666666666666,0.9031037078863167
810,0.8444444444444444,0.829040404040404,0.8460606060606061,0.8312844611528822
900,0.89,0.8916971916971915,0.8842857142857143,0.8826129511046726
990,0.8727272727272727,0.8700244200244199,0.8778442146089205,0.8698247975856672
1080,0.8666666666666667,0.8727344877344876,0.8727039627039627,0.8690517263057307
1170,0.8615384615384616,0.8665938799762329,0.8559077180129812,0.8556280054841437
1260,0.9142857142857143,0.9199104785374809,0.9108703796203796,0.9118635631679111
1350,0.9333333333333333,0.9225961777685916,0.9163852813852815,0.9179716005578074
1440,0.925,0.9211152882205514,0.9132142857142858,0.9138916048815618
1530,0.9176470588235294,0.9192787114845938,0.9204426700750231,0.9183759867583398
1620,0.9055555555555556,0.9041666666666668,0.9071431028551771,0.9043504838156791
1710,0.9,0.9002712215320912,0.9008697633411593,0.8995776504655618
1800,0.92,0.9171365914786967,0.9221534391534393,0.917291472531476
1890,0.9571428571428572,0.9542041166133725,0.9543552061973115,0.9534157515754694
1980,0.9454545454545454,0.9410559129229206,0.9356594259202955,0.9371432780734039
2070,0.9347826086956522,0.9314876717485415,0.9339992697361119,0.931473677986283
2160,0.9208333333333333,0.9165052403736615,0.9189583613267823,0.9162846480203326
2250,0.92,0.9166927541890061,0.9150731339916123,0.9149734058605825
2340,0.9192307692307692,0.9164961376149533,0.9154423472337821,0.9153112160593434
2430,0.937037037037037,0.9332741811190088,0.9358549974517716,0.9339316818372392
2520,0.95,0.9456453222638356,0.9459614550240291,0.9448950414336743
2610,0.9482758620689655,0.9473595720231549,0.9466922521645161,0.9460711062178451
2700,0.9266666666666666,0.9258760208398694,0.9262145399731214,0.9238882128364724
2790,0.9193548387096774,0.919037553614935,0.9234687372799895,0.9193053275313169
2880,0.921875,0.9241578362698235,0.9228494502730495,0.9219235348500645
2970,0.9333333333333333,0.9357630710259489,0.9340237542385376,0.9343158502889516
3060,0.9264705882352942,0.925859379319574,0.9216716288480995,0.9227338205106129
3150,0.9342857142857143,0.9369892459907941,0.9296450972862262,0.9313996954032271
3240,0.9222222222222223,0.9219512837542785,0.919167933734452,0.9179934322700355
3330,0.918918918918919,0.9200567375841594,0.9195289298515105,0.9180229948776816
3420,0.9,0.8992040142900471,0.9021344519836176,0.8986912641999952
3510,0.9025641025641026,0.9005226923153753,0.902304373205536,0.8999629017382519
3600,0.92,0.9160287598241673,0.919702294335257,0.9167934390617141
3690,0.9195121951219513,0.9140123681589104,0.9179919007221866,0.9149082151555149
3780,0.9547619047619048,0.9534156923639021,0.9545486146916747,0.9536210386414659
3870,0.9488372093023256,0.9490295277685542,0.9487144563724501,0.948174484819058
3960,0.9590909090909091,0.9589723499980221,0.9570481680997354,0.9574261624508447
4050,0.9577777777777777,0.9595643436991113,0.9564299426927013,0.9576374334536476
4140,0.9586956521739131,0.9589524834323973,0.9555579186169249,0.9567861698205047
4230,0.9595744680851064,0.9628435978715935,0.9590534346283477,0.9603332540397735
4320,0.95625,0.9601918943547909,0.9563738008461298,0.9573403629386515
4410,0.9530612244897959,0.956753166783955,0.9526036667666737,0.954002960018518
4500,0.936,0.9391406926406927,0.935309076074739,0.9355143344224521
4590,0.9313725490196079,0.9325530154017161,0.9290200269953196,0.9297588760002841
4680,0.9307692307692308,0.93043870125194,0.9274619990425641,0.9283320056298727
4770,0.9320754716981132,0.930021396758405,0.9296319459957558,0.9291907507882922
4860,0.9333333333333333,0.9340907294283225,0.9316843663175215,0.9323858388780325
4950,0.9254545454545454,0.9268895152158736,0.9276803750506264,0.9268994151420005
5040,0.9375,0.9394629030447661,0.9409326936039175,0.9399447127392229
5130,0.9385964912280702,0.940117950044112,0.9417644110832672,0.9405112420498114
5220,0.9396551724137931,0.9413642553234688,0.9426561413550291,0.9412758495761105
5310,0.9440677966101695,0.9442627156911746,0.9469984776220552,0.9447028187430254
5400,0.9483333333333334,0.9497299711057752,0.9499816448295035,0.9492208806680449
5490,0.9540983606557377,0.9551419082807865,0.9535090716704036,0.9536162205800911
5580,0.9532258064516129,0.9553518884064962,0.951922517653851,0.9527685436758754
5670,0.9571428571428572,0.959105891066058,0.9549273932159543,0.9564353378393855
5760,0.9625,0.9631103187029707,0.959611024497541,0.9609363044144997
5850,0.9646153846153847,0.9644092152784459,0.9599677635144312,0.9615967885079538
5940,0.9606060606060606,0.9615229981217652,0.9589689345070846,0.9595478945967681
6030,0.9552238805970149,0.9558980290122339,0.9541591167453236,0.9544170882810856
6120,0.9470588235294117,0.946445291569385,0.9467624028401644,0.9461846558990713
6210,0.9405797101449276,0.9414794292799856,0.9408103399328287,0.9403899674101235
6300,0.9414285714285714,0.9422064592899874,0.9428687203282362,0.9419281973286511
6390,0.9408450704225352,0.9425699479166235,0.9426082496645047,0.9420429495247292
6480,0.9347222222222222,0.9376733662499468,0.9369806606074456,0.9366205102030489
6570,0.9383561643835616,0.9411489033754968,0.9398941888602892,0.9395676650417494
6660,0.9364864864864865,0.9376548069482851,0.9373343713831297,0.9364456984855011
6750,0.9373333333333334,0.9405128250461703,0.9383221648305217,0.9380262588800348
6840,0.9355263157894737,0.9384363335272677,0.9363098962186094,0.9358935406452116
6930,0.938961038961039,0.9419746202283065,0.9388128663216776,0.9389056005510389
7020,0.9320512820512821,0.9347083612339148,0.9329796543987847,0.9324537134514268
7110,0.9278481012658227,0.9295576120726693,0.9294012795247861,0.9284458329093755
7200,0.93375,0.9343104112422032,0.9337050815965517,0.9331729169411037
7290,0.9407407407407408,0.9408628753729387,0.9412583746623102,0.9402866525284914
7380,0.9451219512195121,0.9453891524504419,0.945986470343908,0.9451032573197471
