tamaño,accuracy,precision,recall,f1_score
90,0.6,0.5555555555555556,0.5555555555555556,0.5185185185185185
2700,0.9033333333333333,0.9066081195492959,0.904570355983736,0.9029037000735114
5400,0.945,0.9485279196687528,0.9460563194755419,0.946817523444218
8100,0.96,0.9608008276130114,0.9587263219181288,0.9594149838121652
10800,0.9525,0.9529137559631072,0.9512060651246992,0.9515222375464548
13500,0.96,0.9609621479635455,0.9589775749063134,0.959577424943582
16200,0.9588888888888889,0.9590516810495254,0.9583153853203076,0.958425234593102
18900,0.9671428571428572,0.9676999847453643,0.9661904697472824,0.9666850412723967
21600,0.9595833333333333,0.9589262937309023,0.9596966147222213,0.9590358529522854
24300,0.9640740740740741,0.9644201904152062,0.9638561763618277,0.9640141005182887
27000,0.9626666666666667,0.9631736954545923,0.961795912693783,0.9622879491662669
29700,0.9696969696969697,0.9700745329180478,0.9698860574700667,0.9698501479425318
32400,0.9730555555555556,0.9738586297340402,0.9723122785223296,0.9729234022259442
35100,0.9694871794871794,0.970116230653644,0.9690382865000149,0.9694242242713533
37800,0.9709523809523809,0.9712093051672556,0.9701627401382373,0.9704339880195965
