tamaño,tiempo
90,0.008252143859863281
90,0.001664876937866211
90,0.002530336380004883
2700,2.6095690727233887
2700,2.5885629653930664
2700,2.99564266204834
5400,12.43804121017456
5400,14.383599519729614
5400,13.997390270233154
8100,30.57082462310791
8100,30.797418355941772
8100,34.51825952529907
10800,58.105172872543335
10800,54.24359107017517
10800,53.26882219314575
13500,83.24267816543579
13500,83.19141745567322
13500,83.07292866706848
16200,166.72233891487122
16200,154.29094862937927
16200,138.28327298164368
18900,190.25051403045654
18900,188.09370136260986
18900,188.8030903339386
21600,244.68980979919434
21600,243.53000116348267
21600,244.75259852409363
24300,311.17904472351074
24300,305.2225012779236
24300,306.4160645008087
27000,549.4769546985626
27000,549.2466607093811
27000,548.7708837985992
29700,672.8996331691742
29700,673.4316713809967
29700,669.8969802856445
32400,801.5260992050171
32400,806.889045715332
32400,798.4656660556793
35100,956.8860123157501
35100,944.0550565719604
35100,948.6721844673157
37800,1085.0385675430298
37800,1081.16330742836
37800,1082.9368522167206
