tamaño,tiempo
90,4.56874942779541
90,4.352835178375244
90,4.432067632675171
2700,5.300255060195923
2700,5.323105096817017
2700,5.233994960784912
5400,5.731854200363159
5400,5.707202672958374
5400,5.499087333679199
8100,7.148622989654541
8100,7.1333959102630615
8100,6.9980878829956055
10800,9.612029552459717
10800,9.407815933227539
10800,9.561821460723877
13500,10.162764310836792
13500,10.281035423278809
13500,10.667823076248169
16200,13.625452518463135
16200,13.088066339492798
16200,12.804206848144531
18900,15.897743701934814
18900,15.682368516921997
18900,15.38771104812622
21600,19.366788148880005
21600,19.153180837631226
21600,19.09515070915222
24300,22.461305141448975
24300,22.52960777282715
24300,23.056441068649292
27000,27.749472618103027
27000,27.626880884170532
27000,27.80924081802368
29700,32.4684841632843
29700,32.38078427314758
29700,32.252803564071655
32400,37.28010106086731
32400,36.69711709022522
32400,36.80075025558472
35100,41.60390090942383
35100,41.392717123031616
35100,41.27401328086853
37800,47.98358702659607
37800,50.63467192649841
37800,47.78289270401001
