tamaño,tiempo
90,0.008642196655273438
90,0.0031893253326416016
180,0.01904773712158203
180,0.009957075119018555
360,0.02754807472229004
360,0.02501964569091797
540,0.06565117835998535
540,0.07352852821350098
720,0.1424570083618164
720,0.11892914772033691
900,0.20409822463989258
900,0.20550036430358887
1080,0.4281277656555176
1080,0.3284027576446533
1260,0.4583582878112793
1260,0.3951835632324219
1440,0.5113253593444824
1440,0.518441915512085
1620,0.6583395004272461
1620,0.6685714721679688
1800,0.811882734298706
1800,0.8448104858398438
1980,1.014758586883545
1980,1.1237492561340332
2160,1.30318021774292
2160,1.2210190296173096
2340,1.4310152530670166
2340,1.4282054901123047
2520,1.640775203704834
2520,1.6523690223693848
2700,1.8705418109893799
2700,1.8843722343444824
2880,2.1471877098083496
2880,2.1503446102142334
3060,2.429816961288452
3060,2.4127519130706787
3240,2.7096736431121826
3240,2.74365496635437
3420,3.017455577850342
3420,3.1128294467926025
3600,3.4006595611572266
3600,3.3631088733673096
3780,3.7259321212768555
3780,3.71540904045105
3960,4.076455116271973
3960,4.055734634399414
4140,4.479885578155518
4140,4.474207162857056
4320,4.903525352478027
4320,4.901973009109497
4500,5.290470123291016
4500,5.25392484664917
