tamaño,tiempo
90,0.0021190643310546875
90,0.0025823116302490234
90,0.005798101425170898
2700,2.3930695056915283
2700,2.1688089370727544
2700,2.464599847793579
5400,17.76142978668213
5400,18.26212215423584
5400,8.698827505111693
8100,41.28215265274048
8100,40.35125064849853
8100,20.18784213066101
10800,107.40228128433228
10800,107.12883496284485
10800,71.66695165634154
13500,167.7266092300415
13500,165.56030082702637
13500,168.1695454120636
16200,196.5106165409088
16200,194.3250184059143
16200,239.8004193305969
18900,265.2368996143341
18900,263.9387969970703
18900,293.2280735969544
21600,345.29741072654724
21600,345.384272813797
21600,338.5816559791565
24300,439.06767773628235
24300,436.92606472969055
24300,429.39071369171137
27000,537.8433001041411
27000,538.3599519729613
27000,529.3862674236299
29700,650.9640967845918
29700,650.7175633907317
29700,635.5513544082643
32400,770.6432993412018
32400,763.7708971500398
32400,881.7137229442596
35100,893.8784823417664
35100,895.0279858112335
35100,925.955070734024
37800,1038.639415025711
37800,1035.7359611988068
37800,1202.4868717193606
