alpha,accuracy,precision,time
1.0,0.2808333333333333,0.2563868721042201,32.58948230743408
2.0,0.41404761904761905,0.393729358826051,34.210907220840454
3.0,0.47523809523809524,0.46058501282115116,36.12237906455994
4.0,0.6205952380952381,0.609668555191328,35.62348651885986
5.0,0.726547619047619,0.7225591475974533,39.114612340927124
6.0,0.82,0.817377896208321,39.75336670875549
7.0,0.8641666666666666,0.8632838312657695,41.23627328872681
8.0,0.8935714285714286,0.8923956168454735,42.63522553443909
9.0,0.9086904761904762,0.9075830127432958,44.1230525970459
10.0,0.9245238095238095,0.9238054656279082,45.53026533126831
11.0,0.9317857142857143,0.9309224228471411,48.78745627403259
12.0,0.9427380952380953,0.9422626747591348,50.983078956604004
13.0,0.9513095238095238,0.9509549366560304,53.71032238006592
14.0,0.9564285714285714,0.9561028499126973,54.68456792831421
15.0,0.959047619047619,0.9587983395006467,47.13066101074219
16.0,0.9628571428571429,0.9626583223186751,45.95063042640686
17.0,0.9641666666666666,0.9639233917803786,47.61921501159668
18.0,0.9652380952380952,0.9649512374965102,48.56173300743103
19.0,0.9679761904761904,0.9678340817971549,50.56818342208862
20.0,0.9701190476190477,0.9699955380738169,51.03851246833801
21.0,0.9703571428571428,0.9701575754598325,52.68003702163696
22.0,0.9704761904761905,0.9703559127689264,53.93710470199585
23.0,0.9704761904761905,0.9702971658479042,55.51257038116455
24.0,0.9711904761904762,0.9710135397782423,56.15216302871704
25.0,0.9719047619047619,0.9718440049351438,57.80947232246399
26.0,0.9733333333333334,0.9732882892146588,58.86849069595337
27.0,0.9736904761904762,0.9736052595759241,59.92910623550415
28.0,0.9738095238095238,0.9737297544693322,61.81685423851013
29.0,0.974047619047619,0.9739815299099404,62.626240253448486
30.0,0.9732142857142857,0.9731261615828025,63.89170789718628
31.0,0.9741666666666666,0.974104541879143,65.39734482765198
32.0,0.9746428571428571,0.9746006844379863,66.62798643112183
33.0,0.9747619047619047,0.9747695595529985,68.62071752548218
34.0,0.9754761904761905,0.9754977774955863,69.51118111610413
35.0,0.975,0.9750302842052255,71.57148456573486
36.0,0.9747619047619047,0.9748024033896463,72.19239854812622
37.0,0.9752380952380952,0.9752323707437244,73.52134037017822
38.0,0.9751190476190477,0.9750735581403239,74.5715184211731
39.0,0.9764285714285714,0.9764400961561884,76.10459780693054
40.0,0.9757142857142858,0.9757228695299635,77.87154912948608
41.0,0.9753571428571428,0.9753645020964136,80.32164883613586
42.0,0.9753571428571428,0.9753231565376883,81.55799269676208
43.0,0.975,0.974990012611112,81.57155466079712
44.0,0.9747619047619047,0.9747844652233036,82.12981605529785
45.0,0.9758333333333333,0.9758451908966437,83.47346186637878
46.0,0.9759523809523809,0.9759677274791778,84.4049129486084
47.0,0.9759523809523809,0.9759366831073331,87.68577933311462
48.0,0.9759523809523809,0.9759836476059978,81.68198728561401
49.0,0.9754761904761905,0.975518305577493,88.85927820205688
