K,tiempo,alpha
16,30.741108417510986,alpha_53
16,46.835633277893066,alpha_94
17,31.525442600250244,alpha_53
17,44.26489758491516,alpha_94
18,30.223613500595093,alpha_53
18,42.576582193374634,alpha_94
19,28.99959373474121,alpha_53
19,40.424410343170166,alpha_94
20,27.980928897857666,alpha_53
20,40.06124925613403,alpha_94
