K,tiempo,alpha
11,45.69739270210266,alpha_53
11,63.99501442909241,alpha_94
12,41.06678318977356,alpha_53
12,59.330981731414795,alpha_94
13,39.29281258583069,alpha_53
13,55.545915842056274,alpha_94
14,36.94409775733948,alpha_53
14,52.95624303817749,alpha_94
15,31.917798280715942,alpha_53
15,49.35426187515259,alpha_94
