K,tiempo
2,2382.0013751983643
3,2132.334493637085
4,1954.1031358242035
5,1647.977064371109
6,1402.9548547267914
7,1235.3442838191986
8,1103.8363754749298
9,1012.9424622058868
10,916.7860496044159
11,831.4880800247192
12,763.746105670929
13,712.025949716568
14,667.8799140453339
15,623.4388325214386
16,586.4028103351593
17,558.8692526817322
18,542.1480166912079
19,501.29788613319397
20,475.78667402267456
